employee_id,department,job_role,manager_id,manager_name,shift,hire_date,exit_date,employment_status,exit_reason,age,monthly_income_usd,overtime_flag,avg_monthly_overtime_hours,absenteeism_days_12m,job_satisfaction,work_life_balance,performance_rating,years_since_promotion,training_hours_12m,commute_distance_km,tenure_years,attrition
EMP0001,Production,Production Operator,MGR-P02,Tran Quoc Bao,Day,2022-11-04,,Active,,46,787.0,No,4.8,1,4,3,3,1,39.5,10.5,3.16,No
EMP0002,HR & Administration,Administrative Coordinator,MGR-H01,Luong Phuong Thao,Day,2023-12-04,,Active,,34,993.0,No,2.3,5,5,5,3,1,25.2,13.1,2.08,No
EMP0003,Finance,Cost Analyst,MGR-F01,Mai Thanh Son,Day,2018-01-13,,Active,,45,1673.0,No,3.7,3,1,3,4,5,22.2,32.1,7.96,No
EMP0004,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2024-04-20,,Active,,27,1763.0,Yes,42.1,12,5,3,4,0,7.1,18.6,1.7,No
EMP0005,Production,Production Technician,MGR-P02,Tran Quoc Bao,Night,2023-07-29,,Active,,53,1047.0,Yes,44.1,8,4,3,3,1,38.3,26.2,2.43,No
EMP0006,Maintenance,Maintenance Technician,MGR-M01,Do Tuan Kiet,Day,2024-09-13,,Active,,44,1506.0,No,3.2,10,2,4,3,1,21.4,28.8,1.3,No
EMP0007,Supply Chain,Warehouse Coordinator,MGR-S01,Phan Ngoc Mai,Night,2019-02-04,,Active,,51,1236.0,Yes,17.1,8,2,3,3,6,6.8,27.1,6.9,No
EMP0008,Production,Line Leader,MGR-P04,Pham Hoang Duy,Day,2019-08-28,2024-03-04,Exited,Compensation,30,1095.0,Yes,40.2,16,4,5,2,2,11.9,23.5,4.52,Yes
EMP0009,Supply Chain,Material Planner,MGR-S02,Dang Quang Huy,Night,2025-09-19,2025-12-02,Exited,Compensation,43,1653.0,No,3.5,9,5,3,3,0,31.3,17.1,0.2,Yes
EMP0010,Production,Line Leader,MGR-P02,Tran Quoc Bao,Day,2023-05-29,,Active,,44,1317.0,No,4.3,7,4,3,3,0,43.1,3.2,2.59,No
EMP0011,Quality,Quality Engineer,MGR-Q01,Vo Thu Ha,Day,2025-08-04,,Active,,37,1606.0,No,5.2,6,2,3,4,0,12.9,15.1,0.41,No
EMP0012,Maintenance,Equipment Engineer,MGR-M02,Hoang Van Nam,Day,2022-12-16,,Active,,49,1690.0,No,1.3,5,3,3,4,1,27.8,28.0,3.04,No
EMP0013,Quality,Quality Engineer,MGR-Q02,Bui Thanh Lan,Day,2020-03-19,,Active,,45,1551.0,Yes,22.9,3,4,1,4,1,24.2,17.9,5.79,No
EMP0014,Engineering,Automation Engineer,MGR-E02,Ngo Bao Chau,Day,2022-06-22,,Active,,24,2011.0,No,0.7,17,2,4,3,3,17.3,26.3,3.53,No
EMP0015,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2025-01-31,,Active,,26,2065.0,No,8.1,9,4,3,3,0,42.9,24.3,0.91,No
EMP0016,Production,Line Leader,MGR-P02,Tran Quoc Bao,Rotating,2019-03-30,,Active,,28,1363.0,No,2.3,15,3,3,5,5,18.9,31.2,6.76,No
EMP0017,Supply Chain,Warehouse Coordinator,MGR-S01,Phan Ngoc Mai,Rotating,2023-03-16,,Active,,52,1128.0,No,5.7,11,3,4,2,2,51.2,13.7,2.8,No
EMP0018,Maintenance,Facilities Technician,MGR-M01,Do Tuan Kiet,Rotating,2019-07-14,,Active,,32,1549.0,No,5.0,8,4,4,5,4,16.5,13.3,6.47,No
EMP0019,Quality,Quality Inspector,MGR-Q01,Vo Thu Ha,Day,2023-04-14,,Active,,46,1286.0,Yes,23.2,10,3,4,3,0,56.1,8.8,2.72,No
EMP0020,Production,Line Leader,MGR-P04,Pham Hoang Duy,Day,2025-01-03,,Active,,38,1148.0,Yes,25.0,8,1,4,1,0,21.4,8.9,0.99,No
EMP0021,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2024-08-28,,Active,,39,1917.0,No,2.5,6,4,3,3,1,43.3,10.3,1.34,No
EMP0022,Production,Line Leader,MGR-P02,Tran Quoc Bao,Day,2025-09-24,,Active,,23,1231.0,Yes,21.8,11,4,4,3,0,30.0,43.1,0.27,No
EMP0023,Supply Chain,Material Planner,MGR-S02,Dang Quang Huy,Day,2022-08-01,,Active,,30,1303.0,Yes,23.7,7,4,3,2,0,34.4,6.0,3.42,No
EMP0024,Quality,Quality Engineer,MGR-Q02,Bui Thanh Lan,Day,2024-02-03,2025-01-07,Exited,Compensation,40,1830.0,Yes,23.8,10,1,4,3,1,48.6,7.2,0.93,Yes
EMP0025,Production,Production Operator,MGR-P01,Nguyen Minh Anh,Day,2024-11-09,,Active,,21,969.0,No,1.3,2,5,3,3,1,49.1,11.8,1.14,No
EMP0026,Engineering,Process Engineer,MGR-E01,Truong Minh Duc,Night,2019-04-23,,Active,,35,1763.0,No,3.2,6,4,5,4,4,13.1,6.0,6.69,No
EMP0027,Quality,Quality Technician,MGR-Q01,Vo Thu Ha,Night,2019-03-18,,Active,,29,1422.0,No,7.2,8,5,3,3,2,22.8,20.3,6.79,No
EMP0028,Maintenance,Maintenance Technician,MGR-M01,Do Tuan Kiet,Night,2024-11-02,,Active,,27,1383.0,No,4.7,7,3,5,3,0,29.1,25.0,1.16,No
EMP0029,Production,Line Leader,MGR-P01,Nguyen Minh Anh,Rotating,2019-06-30,,Active,,20,1252.0,No,2.7,1,3,1,3,5,21.2,13.0,6.51,No
EMP0030,HR & Administration,Administrative Coordinator,MGR-H01,Luong Phuong Thao,Day,2019-02-22,2025-10-24,Exited,Career change,43,1092.0,Yes,33.4,15,4,3,4,0,7.5,17.1,6.67,Yes
EMP0031,Quality,Quality Inspector,MGR-Q01,Vo Thu Ha,Rotating,2020-12-17,,Active,,51,1082.0,No,6.6,13,4,4,4,3,47.2,8.4,5.04,No
EMP0032,Production,Production Technician,MGR-P01,Nguyen Minh Anh,Day,2022-02-19,,Active,,24,1127.0,Yes,21.5,3,3,3,3,1,12.2,6.0,3.86,No
EMP0033,Maintenance,Facilities Technician,MGR-M01,Do Tuan Kiet,Day,2021-05-01,,Active,,36,1533.0,No,6.2,5,4,4,3,1,16.2,26.0,4.67,No
EMP0034,Maintenance,Facilities Technician,MGR-M01,Do Tuan Kiet,Day,2021-09-04,2025-02-16,Exited,Personal reasons,37,1272.0,Yes,45.2,9,4,4,3,0,22.6,25.5,3.45,Yes
EMP0035,Production,Production Operator,MGR-P03,Le Thanh Cong,Day,2021-01-13,,Active,,23,959.0,Yes,26.5,12,4,4,3,2,35.2,6.2,4.96,No
EMP0036,Production,Line Leader,MGR-P01,Nguyen Minh Anh,Rotating,2019-04-30,,Active,,53,1391.0,Yes,28.9,2,2,3,5,0,16.5,9.9,6.67,No
EMP0037,Quality,Quality Inspector,MGR-Q01,Vo Thu Ha,Night,2018-12-21,,Active,,50,1187.0,No,5.2,7,1,3,3,5,37.6,15.5,7.03,No
EMP0038,HR & Administration,Payroll Specialist,MGR-H01,Luong Phuong Thao,Day,2019-10-26,,Active,,33,1221.0,Yes,26.9,2,4,3,4,2,25.7,21.2,6.18,No
EMP0039,Production,Production Operator,MGR-P01,Nguyen Minh Anh,Day,2024-08-17,2025-05-13,Exited,Compensation,31,877.0,No,3.3,5,4,3,2,1,28.6,8.1,0.74,Yes
EMP0040,Production,Production Operator,MGR-P04,Pham Hoang Duy,Day,2024-04-12,,Active,,53,810.0,No,5.4,7,4,5,3,1,48.4,20.9,1.72,No
EMP0041,Production,Line Leader,MGR-P01,Nguyen Minh Anh,Day,2023-03-16,,Active,,36,1229.0,Yes,19.1,4,5,3,3,1,28.6,11.5,2.8,No
